schedule,t,reward,gap,beta_true,beta_hat,cert,cert_hp,n_cal,n_mon,cum_aud,xi_sq,exp3_arm,exp3_p,exp3_loss
adaptive,1,0.9293731961660991,0.02672642979393902,0.0,0.2517994555981508,2.3007537966051195,27.565464403398014,5,20,25,1.3455312969584128,,,
adaptive,2,0.9294748626306508,0.026800449998540143,0.0,-0.0347939395352406,4.041565404490061,29.306276011282957,5,20,50,4.367484267650366,,,
adaptive,3,0.929617330936881,0.026555232155373365,0.0,0.0023913557392528134,4.305410417582322,29.57012102437522,5,20,75,4.58202352923992,,,
adaptive,4,0.9295862773253538,0.026552085181735352,0.0,0.08107210915167803,4.013186651862695,29.277897258655592,5,20,100,4.346783632286471,,,
adaptive,5,0.9295298597771937,0.026599098500130314,0.0,0.18170573615938057,2.227201816994135,27.49191242378703,5,20,125,3.064530299410663,,,
adaptive,6,0.9297534844664744,0.026206095818750663,0.0,-0.006473168073092344,2.3522980952506436,27.617008702043538,5,20,150,1.330440978162727,,,
adaptive,7,0.929805070428155,0.026135778847505065,0.0,-0.05394734488748561,3.9512751133846122,29.215985720177507,5,20,175,4.1179633701941425,,,
adaptive,8,0.9300884272942177,0.02607997935240247,0.0,-0.47832553985058734,6.0293377657039935,31.29404837249689,5,20,200,9.809122176418722,,,
adaptive,9,0.9302286830091885,0.02599945119085123,0.0,-0.07179083238178595,6.0437889181370705,31.308499524929967,5,20,225,9.637510015435769,,,
adaptive,10,0.9302940986800425,0.025965662439350168,0.0,-0.033835569575656275,4.005073533492202,29.269784140285097,5,20,250,4.348116376841242,,,
adaptive,11,0.9306236640408363,0.027760167582111417,0.0,-1.2712746594583333,8.374743535692755,33.63945414248565,5,20,275,30.037680504198793,,,
adaptive,12,0.9308020903365852,0.027517593570862475,0.0,-0.03008902396787458,2.123647850213372,27.38835845700627,5,20,300,1.5980286479762045,,,
adaptive,13,0.9307955750008757,0.027781653214181468,0.0,-0.03781514506845042,3.441049552046703,28.7057601588396,5,20,325,4.399206713172087,,,
adaptive,14,0.9308556782095982,0.028345957946512734,0.0,-0.18311973958485303,2.257906932675308,27.522617539468204,5,20,350,2.406817274357051,,,
adaptive,15,0.9309345766171596,0.02803870441070988,0.0,0.014026675664494847,2.608710041089237,27.873420647882135,5,20,375,1.3377089635777268,,,
adaptive,16,0.9310304855158992,0.02797801690922319,0.0,-0.0062125013435168595,2.8521531793027255,28.11686378609562,5,20,400,1.274919016064951,,,
adaptive,17,0.9310254138650133,0.027902492306439486,0.0,0.01997089930810882,4.236330039010371,29.501040645803265,5,20,425,4.016560785613681,,,
adaptive,18,0.9310134528986322,0.029431779444268114,0.0,-0.38495746765650235,2.461695211149104,27.726405817942002,5,20,450,4.988863883403532,,,
adaptive,19,0.9310908913253318,0.02910221889025877,0.0,0.012498036886515558,4.672834895347852,29.937545502140747,5,20,475,3.991797553318504,,,
adaptive,20,0.9311430532393894,0.029165468684150486,0.0,-0.013032660681299131,4.206787666331826,29.471498273124723,5,20,500,4.616081417891421,,,
adaptive,21,0.9308592053279288,0.03362917492418438,0.0,-0.7091966569897792,2.172343067614514,27.43705367440741,5,20,525,5.64693936714714,,,
adaptive,22,0.9308966907504294,0.033714435426625,0.0,-0.03550805504337375,8.412932537863442,33.67764314465634,5,20,550,18.570909469467786,,,
adaptive,23,0.9309764409768466,0.032547976893280484,0.0,0.13671845639186955,4.308019617352252,29.572730224145147,5,20,575,4.53198276343742,,,
adaptive,24,0.9309175594680836,0.034147867090156714,0.0,-0.25414485989251223,2.7716344776223405,28.036345084415238,5,20,600,3.0746531146050713,,,
adaptive,25,0.9309740687930872,0.03391723202710262,0.0,0.008614903570788712,2.0875203542740284,27.352230961066923,5,20,625,1.3862174146518207,,,
adaptive,26,0.9311286490903231,0.03289941420724263,0.0,0.11642969786828049,4.613318405900534,29.878029012693432,5,20,650,5.4283224451194485,,,
adaptive,27,0.9311762293897565,0.03270587801935443,0.0,0.014781378083497684,5.1331651897831225,30.397875796576017,5,20,675,4.525039426076876,,,
adaptive,28,0.9310373728336657,0.03468967227258479,0.0,-0.2966026016237602,4.526810993318618,29.791521600111516,5,20,700,4.7772792950151315,,,
adaptive,29,0.931233155608089,0.03305706903971273,0.0,0.18926668080598918,3.040317393310126,28.30502800010302,5,20,725,1.079256944315064,,,
adaptive,30,0.9313636016395435,0.03196355630722458,0.0,0.13051068714233743,2.3939364285844036,27.6586470353773,5,20,750,1.6367905779853935,,,
adaptive,31,0.9314330834380563,0.03139445703303734,0.0,0.08733052970303133,4.295666871046607,29.560377477839502,5,20,775,5.376019044477713,,,
adaptive,32,0.9315949669144793,0.030326901871433165,0.0,0.13567619822607865,5.167055183709974,30.43176579050287,5,20,800,4.81110891021497,,,
adaptive,33,0.9316201570468674,0.03041945930605139,0.0,-0.009347022597117607,5.029599415587021,30.294310022379918,5,20,825,4.695594815548404,,,
adaptive,34,0.931436428616659,0.03237275868569489,0.0,-0.31168714023498717,8.530144954152924,33.79485556094582,5,20,850,16.94267802804043,,,
adaptive,35,0.9316195871818628,0.030893259454889743,0.0,0.20387077386338648,3.0575943121446985,28.322304918937593,5,20,875,3.0729677861358438,,,
adaptive,36,0.9320465929730799,0.02783909556906683,0.0,0.4854532319099403,3.9883794800162105,29.253090086809106,5,20,900,3.2938676371775872,,,
adaptive,37,0.9321182574494594,0.027712887560134902,0.0,-0.0099102339765985,8.771123046338781,34.035833653131675,5,20,925,15.890950039224697,,,
adaptive,38,0.9322403448164333,0.027506324754226763,0.0,0.001476500611488333,4.244330734434275,29.50904134122717,5,20,950,4.183405143989523,,,
adaptive,39,0.932333824237441,0.02742735592162704,0.0,-0.02765672053810171,2.7648959878002946,28.02960659459319,5,20,975,1.2130375480021598,,,
adaptive,40,0.9330348173541009,0.024040464938369532,0.0,0.6841768144013279,3.886877316944607,29.1515879237375,5,20,1000,6.1759667632549835,,,
adaptive,41,0.9329900300922943,0.024351258217499616,0.0,-0.1621944478192662,4.414057623855475,29.678768230648373,5,20,1025,4.227226111160688,,,
adaptive,42,0.9330475047067665,0.02426594332905596,0.0,-0.045506097073359404,4.305106141528702,29.5698167483216,5,20,1050,4.541734458568292,,,
adaptive,43,0.9331106106752886,0.024029014334345566,0.0,0.044679465296694025,4.1212680311945515,29.38597863798745,5,20,1075,4.60208656914226,,,
adaptive,44,0.9334175177283233,0.02323472395295323,0.0,0.2084193488268658,3.803005747220231,29.06771635401313,5,20,1100,3.872507334379163,,,
adaptive,45,0.9335062209817393,0.023129229664912154,0.0,0.012934311551400965,4.4987771423025125,29.763487749095408,5,20,1125,4.468859099096809,,,
adaptive,46,0.9336940056507176,0.02259902024724847,0.0,0.13197764056882796,3.8454856866125002,29.110196293405394,5,20,1150,5.046869933295668,,,
adaptive,47,0.9337787413278573,0.02226901444311047,0.0,0.10322459248378531,4.117183946254765,29.381894553047662,5,20,1175,4.134993636484226,,,
adaptive,48,0.9338169698819502,0.022025566643551264,0.0,0.13568639238175226,3.699546801213846,28.96425740800674,5,20,1200,6.289969881424005,,,
adaptive,49,0.9339300201541546,0.021932376449583568,0.0,-0.04401537836115139,2.206790057718046,27.47150066451094,5,20,1225,1.2174424915473676,,,
adaptive,50,0.9340979417204643,0.021602365061552775,0.0,0.09190458203317962,3.9441393724492815,29.208849979242178,5,20,1250,4.120557096145484,,,
adaptive,51,0.9342205648850358,0.02138553221683559,0.0,-0.04577460853047062,2.5393778684641877,27.804088475257082,5,20,1275,1.3565745011674228,,,
adaptive,52,0.9344669783309485,0.020816324225001348,0.0,0.2918845772091843,4.208077132454862,29.472787739247757,5,20,1300,7.153658023152668,,,
adaptive,53,0.9346229705653828,0.02058616902084265,0.0,0.10613799013698885,6.146140931558083,31.41085153835098,5,20,1325,9.423748297770365,,,
adaptive,54,0.9347165845571218,0.02043830788605938,0.0,0.1059310141640167,2.2277916071323633,27.49250221392526,5,20,1350,1.3334873011402888,,,
adaptive,55,0.9348196808667105,0.020393306454893123,0.0,0.018606589867189605,6.127477714860207,31.3921883216531,5,20,1375,9.692252953436475,,,
adaptive,56,0.9348921489194132,0.020108110096126897,0.0,0.1159172465306302,3.9780494749873103,29.242760081780204,5,20,1400,4.104755441414503,,,
adaptive,57,0.9350283512317993,0.01982670614782267,0.0,0.21520798996726856,2.226613584338431,27.491324191131326,5,20,1425,1.8636786485394525,,,
adaptive,58,0.9351069985795752,0.019800588625203286,0.0,0.25120980730745873,3.7641330036356564,29.028843610428552,5,20,1450,3.547465457665493,,,
adaptive,59,0.9352511137341162,0.01976318589206616,0.0,0.008861459655022849,4.139408098125322,29.40411870491822,5,20,1475,4.534113261320257,,,
adaptive,60,0.9352538915815305,0.01985861075208062,0.0,0.09667719417542954,6.005693524985939,31.270404131778836,5,20,1500,9.48601115076672,,,
adaptive,61,0.9353728945192127,0.019773562495337016,0.0,0.0254309221207683,6.3138873314956685,31.578597938288564,5,20,1525,9.556906514167652,,,
adaptive,62,0.9354431600932404,0.019574720416954072,0.0,-0.01673346958152684,6.185591009025532,31.45030161581843,5,20,1550,9.245761443790425,,,
