schedule,t,reward,gap,beta_true,beta_hat,cert,cert_hp,n_cal,n_mon,cum_aud,xi_sq,exp3_arm,exp3_p,exp3_loss
high,1,0.9295187627160115,0.02656399615476457,0.0,-0.002262994293664912,6.230073892371876,31.494784499164773,200,20,220,8.94876442621787,,,
high,2,0.9295625860207513,0.026537531681555038,0.0,-0.026358919471710974,2.3959419972031735,27.66065260399607,200,20,440,1.2444925239868216,,,
high,3,0.9295694367632771,0.026656828904958463,0.0,0.01652567017266653,2.277078491026453,27.54178909781935,200,20,660,1.4186213573240036,,,
high,4,0.9297773591244818,0.026348741187918523,0.0,-0.011903347805586889,4.112846261032359,29.377556867825255,200,20,880,5.117263895009373,,,
high,5,0.929901587698711,0.02607447831219667,0.0,0.013568425719544745,4.28139945134232,29.546110058135216,200,20,1100,4.4700587681411,,,
high,6,0.9300778570084816,0.025847730983031614,0.0,-0.005696784090784749,8.266702254608566,33.53141286140146,200,20,1320,16.49203489454459,,,
high,7,0.9301731397715979,0.02582259459644587,0.0,0.0035091055791318035,4.125216328779352,29.389926935572248,200,20,1540,4.1842702915542445,,,
high,8,0.930359198614036,0.025618357347452325,0.0,0.005597763027593123,2.1419103823707855,27.40662098916368,200,20,1760,1.352018211981872,,,
high,9,0.9304753109179487,0.025460223681649574,0.0,0.024250228330354024,4.223681600512427,29.488392207305324,200,20,1980,4.1256228063925295,,,
high,10,0.9306146108499626,0.025229017429462375,0.0,-0.01933489408797363,6.269161982628403,31.5338725894213,200,20,2200,9.823139111713111,,,
high,11,0.9306684577324357,0.025203984426464654,0.0,0.000748135704218473,4.093070602360192,29.35778120915309,200,20,2420,4.667881004545971,,,
high,12,0.9306997930773766,0.02516583060428257,0.0,-0.028625927554337172,4.375730733351552,29.64044134014445,200,20,2640,4.075216229240962,,,
high,13,0.9307143005574262,0.02508342679780251,0.0,-0.019128637712248455,4.0465836399318835,29.311294246724778,200,20,2860,3.9797974423106095,,,
high,14,0.9306627909139417,0.02514815081282118,0.0,-0.012220044339634823,2.249891021727741,27.514601628520637,200,20,3080,1.1197901914776736,,,
high,15,0.930739380253922,0.02493856426340202,0.0,0.04920374993285686,2.2550997512400492,27.519810358032945,200,20,3300,1.3212756396092413,,,
high,16,0.9309268005499409,0.02478388423148603,0.0,-0.009346729685925396,2.2025975651824865,27.467308171975382,200,20,3520,1.165328155249277,,,
high,17,0.9309961890201863,0.02483354252157921,0.0,0.013623364474920806,4.104570558119137,29.36928116491203,200,20,3740,4.370378544492884,,,
high,18,0.9310999302333421,0.02479204554458636,0.0,-0.014447787759318721,6.1079056064223565,31.372616213215252,200,20,3960,9.26457092037159,,,
high,19,0.9312072131254961,0.024585338659880218,0.0,-0.024672479353189565,4.421412838065008,29.686123444857905,200,20,4180,4.266097305692017,,,
high,20,0.9312972765363935,0.024504739799805053,0.0,-0.013852487313465122,4.10925679987342,29.373967406666317,200,20,4400,4.510566130595736,,,
high,21,0.9313151098040998,0.024417004632031447,0.0,0.012290591049680756,2.146085898472021,27.410796505264916,200,20,4620,1.0445929852910758,,,
high,22,0.9314739313849251,0.024176684892413203,0.0,0.007954089121734368,4.120094544649868,29.384805151442762,200,20,4840,4.348886525228636,,,
high,23,0.9314784988096517,0.02409407350583448,0.0,0.008158500663266394,2.269523305122434,27.53423391191533,200,20,5060,1.3104755794135519,,,
high,24,0.9315503034094486,0.024141093801183566,0.0,-0.009883574892017695,4.044770507112289,29.309481113905186,200,20,5280,4.351572858366572,,,
high,25,0.9316849265652316,0.02390750579730261,0.0,-0.005145491805533598,4.0129555499139595,29.277666156706857,200,20,5500,4.221593501660885,,,
high,26,0.9318863405517548,0.02370216250157431,0.0,0.0059257359010237666,2.2617718742042343,27.52648248099713,200,20,5720,1.182595619215386,,,
high,27,0.9319071345190191,0.02386062922880805,0.0,-0.028492230863773827,4.357620533266245,29.622331140059142,200,20,5940,4.5110845057430025,,,
high,28,0.931960710266188,0.023848115004174497,0.0,0.014129358138514252,4.147685953946791,29.412396560739687,200,20,6160,4.451640450327989,,,
high,29,0.932093443197004,0.02374084933880838,0.0,0.0401928915158448,4.01198419334613,29.276694800139026,200,20,6380,4.498650562534636,,,
high,30,0.9321193483405168,0.023482831879720667,0.0,0.0017689764401906576,4.292010740441615,29.55672134723451,200,20,6600,4.443116156740418,,,
high,31,0.932251312014047,0.023362326307926007,0.0,-0.00960957081160782,4.310555245675707,29.575265852468604,200,20,6820,3.8615478148303404,,,
high,32,0.9323586389707748,0.023278955079287122,0.0,0.0269012523416663,4.435927215678158,29.700637822471055,200,20,7040,4.363623850455148,,,
high,33,0.9323947405410153,0.023293464846899092,0.0,0.017307343187056404,3.9969804162147944,29.26169102300769,200,20,7260,4.751990318043198,,,
high,34,0.932416619057571,0.023290383028181982,0.0,-0.035228129490815344,4.243680363098029,29.508390969890925,200,20,7480,4.551071094546866,,,
