schedule,t,reward,gap,beta_true,beta_hat,cert,cert_hp,n_cal,n_mon,cum_aud,xi_sq,exp3_arm,exp3_p,exp3_loss
high,1,0.6412866124166648,0.05352459825423184,0.0,-0.00873196116577769,2.0816659733218654,23.837497968289714,250,25,275,1.3149639637974782,,,
high,2,0.6423218745848003,0.05270344507155267,0.0,-0.018401635013251073,3.692300923454905,25.448132918422754,250,25,550,3.2212320167019115,,,
high,3,0.6430426263175688,0.05155368354223011,0.0,0.027620238415389492,3.7527919546407658,25.508623949608616,250,25,825,2.566582494415977,,,
high,4,0.6440524711649449,0.05050215096491295,0.0,-0.008460537917432781,1.9309972307706913,23.686829225738542,250,25,1100,1.0300168121341333,,,
high,5,0.6447791037213315,0.04974767533479596,0.0,0.00066699231543759,3.6061946369314324,25.362026631899283,250,25,1375,3.5572464409489553,,,
high,6,0.646481135380646,0.04765531897841191,0.0,-0.0543560792145388,1.7655969654558903,23.52142896042374,250,25,1650,1.0496843532069364,,,
high,7,0.6472869375823589,0.046911974485256636,0.0,0.013678624334404072,3.4749069000361508,25.230738895004,250,25,1925,2.8631681243504294,,,
high,8,0.6481446532982664,0.04590804387683889,0.0,0.005935035524604405,3.4437277024902415,25.199559697458092,250,25,2200,3.2399409408131694,,,
high,9,0.6492769313186152,0.04452284648848581,0.0,-0.031504439412581506,3.3664020600556586,25.122234055023508,250,25,2475,2.985858235519692,,,
high,10,0.6501688611606415,0.04366911050162414,0.0,-0.009020688106118805,1.7740736450849435,23.529905640052792,250,25,2750,1.3242358759848916,,,
high,11,0.6499535628289593,0.04406846276531717,0.0,0.07948304453784603,1.7600810445281105,23.51591303949596,250,25,3025,0.7992716220717726,,,
high,12,0.650637293913628,0.04330388426257403,0.0,-0.050905257232906946,5.046196904336739,26.802028899304588,250,25,3300,6.42591337880498,,,
high,13,0.651615270016184,0.042033527994483344,0.0,-0.0024238289101241903,3.1084582017955125,24.864290196763363,250,25,3575,3.038850322397819,,,
high,14,0.6519347153649405,0.041395538813134625,0.0,0.06566359001592582,3.453580950814968,25.209412945782816,250,25,3850,2.9685873933512656,,,
high,15,0.6528015516158233,0.04016096663890645,0.0,-0.03282289932799988,2.112317484970559,23.86814947993841,250,25,4125,1.0938535555536175,,,
high,16,0.6529363449960545,0.039978440862517894,0.0,0.037923210232683933,3.62976785656752,25.385599851535368,250,25,4400,3.021296535400091,,,
high,17,0.6533688789347663,0.039753294686635576,0.0,0.045027363010753954,1.8286775070050951,23.584509501972946,250,25,4675,1.1074713038866333,,,
high,18,0.6542817619528704,0.03874030423009733,0.0,-0.06748328310252105,0.9448889919210527,22.700720986888903,250,25,4950,0.5277683734117262,,,
high,19,0.6548363487224124,0.03766393835264925,0.0,0.017052247013917797,4.710994539808879,26.46682653477673,250,25,5225,6.912608390723813,,,
high,20,0.655527922329501,0.03673289058475526,0.0,0.024857298111158863,3.2681773866788055,25.024009381646653,250,25,5500,2.842561369095419,,,
high,21,0.6555535582756056,0.03704717409268887,0.0,0.055289847027608564,3.3330816114796393,25.088913606447488,250,25,5775,3.190498156210717,,,
high,22,0.6561459649683595,0.036486539095886505,0.0,-0.016202349529537207,3.444085129487373,25.199917124455222,250,25,6050,3.1933381577902984,,,
high,23,0.6566474403364763,0.035887852293542855,0.0,0.016325004067598126,1.9003428079829254,23.656174802950776,250,25,6325,1.2298601256519626,,,
high,24,0.6572778791438995,0.03507340347408727,0.0,0.012717347335163805,2.3039824540489935,24.05981444901684,250,25,6600,1.0471258667553636,,,
high,25,0.6579320147146689,0.034624187571203446,0.0,0.007279075649268579,5.958941548479657,27.714773543447507,250,25,6875,10.306270499461263,,,
high,26,0.658054630166162,0.03425024314025449,0.0,0.050843598399062814,3.1729528058877547,24.928784800855603,250,25,7150,3.537457265534627,,,
high,27,0.6585958396341799,0.03393930978997184,0.0,-0.034179516754389364,4.97717357547295,26.7330055704408,250,25,7425,6.678159643094052,,,
high,28,0.6591268700862895,0.033207859385738114,0.0,0.03515602114517392,2.1536659505428717,23.909497945510722,250,25,7700,0.8693465831427676,,,
high,29,0.6599485436832724,0.032390359647283096,0.0,0.0016898575329449563,1.8654832925748008,23.62131528754265,250,25,7975,1.435429054737582,,,
high,30,0.6606395820516916,0.03139992951336301,0.0,-0.04474212384529442,3.4885666665407133,25.244398661508562,250,25,8250,2.4977533273853183,,,
high,31,0.6614327027662058,0.030139773154752247,0.0,0.00633147174077994,1.7542234640297383,23.510055458997588,250,25,8525,1.1758825304456761,,,
high,32,0.661764367133472,0.029519500730004533,0.0,0.047278853897969375,3.72831930021837,25.48415129518622,250,25,8800,3.181637661006608,,,
high,33,0.6620809832277615,0.02905644735271229,0.0,0.045038130547971525,2.3442216165169776,24.100053611484828,250,25,9075,0.9336236241774292,,,
high,34,0.6625125814263333,0.02885171083681337,0.0,-0.027713008544020163,3.5423190805669504,25.2981510755348,250,25,9350,3.0887980527538232,,,
high,35,0.6633180496460525,0.02779637026750703,0.0,-0.01732451925961359,3.34394955173808,25.09978154670593,250,25,9625,3.4567233761647818,,,
high,36,0.6641692045350144,0.026574790165983075,0.0,-0.056838948001059236,3.3539512564012384,25.109783251369088,250,25,9900,2.9233343130764298,,,
high,37,0.6641181664244131,0.027017514455828673,0.0,-0.010416435345678855,3.472324495299317,25.228156490267168,250,25,10175,3.4294301313124183,,,
high,38,0.6646976544681461,0.02623309889310621,0.0,-0.02538372862522141,4.749260567751268,26.505092562719117,250,25,10450,6.821780106126724,,,
high,39,0.6651522429224301,0.025435376044922964,0.0,-0.0002590877108413982,3.8155296404404595,25.57136163540831,250,25,10725,3.179555547722584,,,
high,40,0.6654930901276092,0.02544151493985458,0.0,-0.009286786864505013,3.3793918068242927,25.135223801792144,250,25,11000,2.868701300393876,,,
high,41,0.6657294862342299,0.025311078006425403,0.0,0.00035036989170150734,1.9209685218419146,23.676800516809763,250,25,11275,1.0566236634152482,,,
high,42,0.6661045218675803,0.02524914601091588,0.0,-0.00548005512356657,1.8304712118008084,23.586303206768658,250,25,11550,1.6352235451114574,,,
high,43,0.6664981689490812,0.024685826544959544,0.0,-0.01717556769197609,5.276812013957987,27.032644008925836,250,25,11825,5.692940896273118,,,
high,44,0.666874785372368,0.024118918618074803,0.0,-0.061737267045711385,3.1247945444679597,24.88062653943581,250,25,12100,3.343867654751595,,,
high,45,0.667048530533008,0.024155257741485192,0.0,0.07039015813995,3.4878435248556676,25.243675519823515,250,25,12375,2.813397567959916,,,
