schedule,t,reward,gap,beta_true,beta_hat,cert_hp,n_cal,n_mon,cum_aud,xi_sq,exp3_arm,exp3_p,exp3_loss
monitor_only,1,0.3972702584020644,0.03210534352032446,0.0,0.0,13.665000689368375,0,25,25,0.38283942981383384,,,
monitor_only,2,0.3972304788663709,0.032317986237724805,0.0,0.0,15.186206778041452,0,25,50,2.3669939861556673,,,
monitor_only,3,0.397440791445024,0.032124709654805794,0.0,0.0,14.55955531474368,0,25,75,1.2043782432429053,,,
monitor_only,4,0.3976178305248668,0.03200835013580933,0.0,0.0,13.572403332853685,0,25,100,0.3361258788438227,,,
monitor_only,5,0.39761731744945217,0.0320638979658362,0.0,0.0,15.157603225987422,0,25,125,2.6837673546924625,,,
monitor_only,6,0.39767471426608186,0.03202912327831425,0.0,0.0,13.904228702068064,0,25,150,0.27629226652592903,,,
monitor_only,7,0.39772711437051045,0.03168794476436487,0.0,0.0,14.38217979978327,0,25,175,1.146205129177879,,,
monitor_only,8,0.3980180789733085,0.031189500489550437,0.0,0.0,13.425685494420657,0,25,200,0.24871997702972884,,,
monitor_only,9,0.3982837713043056,0.03073630775538383,0.0,0.0,13.67783765216304,0,25,225,0.265664640200505,,,
monitor_only,10,0.39844292642437346,0.030277592861886526,0.0,0.0,14.555557084826907,0,25,250,1.1213449053089921,,,
monitor_only,11,0.39861503289440137,0.02995499211606667,0.0,0.0,12.979274320466843,0,25,275,0.2388284068591257,,,
monitor_only,12,0.3987296608352501,0.029697205750030875,0.0,0.0,13.569003775422061,0,25,300,0.4935440847459019,,,
monitor_only,13,0.39877298976021563,0.02980694875232448,0.0,0.0,14.302457727601805,0,25,325,1.1258475780577,,,
monitor_only,14,0.3987754069965394,0.029750482284676083,0.0,0.0,13.048360566962563,0,25,350,0.2262740674169433,,,
monitor_only,15,0.3988627456969634,0.02967783492751508,0.0,0.0,13.042381767785264,0,25,375,0.2860774980469957,,,
monitor_only,16,0.3989718323452937,0.029412438144239383,0.0,0.0,13.61655633103155,0,25,400,0.23695298806787476,,,
monitor_only,17,0.3991094505173902,0.02924546052293514,0.0,0.0,13.455694538371505,0,25,425,0.33753496653906123,,,
